Turn 9: first=40.20687498268671 ms; landing=329.20304164872505 ms; target=120 Hz; OS presentation gaps=[0.01667337500839494, 0.01667337500839494, 0.01667345833266154, 0.01667337497929111, 0.016673541686031967, 0.01667337497929111, 0.01667337500839494, 0.01667345833266154, 0.016673333331709728, 0.012504874990554526, 0.008336750004673377, 0.008336666680406779, 0.008337000006577, 0.008336291648447514, 0.008336750004673377, 0.008336750004673377, 0.008336666651302949, 0.008336666680406779, 0.00833679165225476, 0.008336541679454967, 0.008336750004673377, 0.008336666651302949, 0.008336750004673377, 0.008336625003721565, 0.00833679168135859]; callback delays=[0.00046812501386739314, 0.000620041653746739, 0.0006092916592024267, 0.0005249583336990327, 0.0005868333391845226, 0.0005276666488498449, 0.0005645416676998138, 0.0005198333237785846, 0.0006348750030156225, 0.0006171250133775175, 0.004860000015469268, 0.0051535833335947245, 0.00434645832865499, 0.005229333328315988, 0.004349124996224418, 0.005207541660638526, 0.004014749982161447, 0.003718375024618581, 0.0038659999845549464, 0.0051267916860524565, 0.0036610416718758643, 0.00381970833404921, 0.0036158750008326024, 0.003650958329671994, 0.0005055416550021619, 0.0004504583193920553] s; unpresented progress=[0.9649042530451821]

Command execution=19.08662499045022 ms
start=54.513916693395004ms; CPU=3.307916660560295ms; GPU queue=0.16412496916018426ms; GPU=3.205749992048368ms; target=71.08991668792441ms
start=63.22908334550448ms; CPU=4.307708324631676ms; GPU queue=0.2799166541080922ms; GPU=3.0214999860618263ms; target=79.42658333922736ms
start=71.49329167441465ms; CPU=3.219666687073186ms; GPU queue=0.18416662351228297ms; GPU=3.6329583381302655ms; target=87.76325001963414ms
start=79.56212499993853ms; CPU=3.255916672060266ms; GPU queue=0.17766663222573698ms; GPU=3.6056250100955367ms; target=96.09991667093709ms
start=88.13362501678057ms; CPU=3.9243333449121565ms; GPU queue=0.15887495828792453ms; GPU=3.163124987622723ms; target=104.43658335134387ms
start=96.2358333345037ms; CPU=3.271875000791624ms; GPU queue=0.16391664394177496ms; GPU=3.540708334185183ms; target=112.77325000264682ms
start=104.89654168486595ms; CPU=3.279249998740852ms; GPU queue=0.1579166273586452ms; GPU=3.037125017726794ms; target=121.1099166830536ms
start=113.01158333662897ms; CPU=2.504833333659917ms; GPU queue=0.1549583103042096ms; GPU=3.402458329219371ms; target=129.44658333435655ms
start=121.56995834084228ms; CPU=3.1369583448395133ms; GPU queue=0.15316662029363215ms; GPU=3.0179166642483324ms; target=137.78325001476333ms
start=129.8780416836962ms; CPU=2.3231666709762067ms; GPU queue=0.13849997776560485ms; GPU=3.28341664862819ms; target=146.11991666606627ms
start=138.27225001296028ms; CPU=3.0982916650827974ms; GPU queue=0.16079164925031364ms; GPU=2.9550000035669655ms; target=154.45658334647305ms
start=146.55754168052226ms; CPU=2.1963333419989794ms; GPU queue=0.14233330148272216ms; GPU=3.234749980038032ms; target=162.79325002687983ms
start=154.97887501260266ms; CPU=2.6022083475254476ms; GPU queue=0.1393749553244561ms; GPU=2.51537500298582ms; target=171.12991667818278ms
